"word","gender","correct_response","frequency","letters","noun_origin","materials_version","task_part"
"utbrudd","neuter","f","6023","7","filler: not part of the study","1.2.3","main"
"punktum","neuter","f","6073","7","filler: not part of the study","1.2.3","main"
"mannskap","neuter","f","11749","8","filler: not part of the study","1.2.3","main"
"passord","neuter","f","10940","7","filler: not part of the study","1.2.3","main"
"sukker","neuter","f","15365","6","filler: not part of the study","1.2.3","main"
"fiske","neuter","f","22357","5","filler: not part of the study","1.2.3","main"
"forbilde","neuter","f","7956","8","filler: not part of the study","1.2.3","main"
"foredrag","neuter","f","24466","8","filler: not part of the study","1.2.3","main"
"fartøy","neuter","f","7552","6","filler: not part of the study","1.2.3","main"
"korn","neuter","f","8925","4","filler: not part of the study","1.2.3","main"
"opptak","neuter","f","21404","6","filler: not part of the study","1.2.3","main"
"vilkår","neuter","f","22459","6","filler: not part of the study","1.2.3","main"
"sår","neuter","f","10538","3","filler: not part of the study","1.2.3","main"
"steg","neuter","f","15413","4","filler: not part of the study","1.2.3","main"
"basseng","neuter","f","5246","7","part of the study","1.2.3","main"
"blad","neuter","f","28089","4","part of the study","1.2.3","main"
"bord","neuter","f","34594","4","part of the study","1.2.3","main"
"brett","neuter","f","6287","5","part of the study","1.2.3","main"
"brev","neuter","f","50773","4","part of the study","1.2.3","main"
"jordbær","neuter","f","3559","7","part of the study","1.2.3","main"
"krus","neuter","f","869","4","part of the study","1.2.3","main"
"skap","neuter","f","11213","4","part of the study","1.2.3","main"
"slips","neuter","f","1919","5","part of the study","1.2.3","main"
"speil","neuter","f","8972","5","part of the study","1.2.3","main"
"stearinlys","neuter","f","1510","10","part of the study","1.2.3","main"
"tak","neuter","f","80783","3","part of the study","1.2.3","main"
"report","feminine","j","5072","6","filler: not part of the study","1.2.3","main"
"klare","feminine","j","15519","5","filler: not part of the study","1.2.3","main"
"before","feminine","j","6159","6","filler: not part of the study","1.2.3","main"
"tåre","feminine","j","10181","4","filler: not part of the study","1.2.3","main"
"nov","feminine","j","17470","3","filler: not part of the study","1.2.3","main"
"overtid","feminine","j","9510","7","filler: not part of the study","1.2.3","main"
"peiling","feminine","j","9691","7","filler: not part of the study","1.2.3","main"
"råvare","feminine","j","7515","6","filler: not part of the study","1.2.3","main"
"bikkje","feminine","j","6668","6","filler: not part of the study","1.2.3","main"
"lønning","feminine","j","6727","7","filler: not part of the study","1.2.3","main"
"røyking","feminine","j","5055","7","filler: not part of the study","1.2.3","main"
"shopping","feminine","j","7651","8","filler: not part of the study","1.2.3","main"
"plage","feminine","j","11043","5","filler: not part of the study","1.2.3","main"
"during","feminine","j","5272","6","filler: not part of the study","1.2.3","main"
"takke","feminine","j","7368","5","filler: not part of the study","1.2.3","main"
"dumping","feminine","j","6047","7","filler: not part of the study","1.2.3","main"
"bru","feminine","j","6668","3","filler: not part of the study","1.2.3","main"
"fucking","feminine","j","8664","7","filler: not part of the study","1.2.3","main"
"selvom","feminine","j","6114","6","filler: not part of the study","1.2.3","main"
"pølse","feminine","j","8145","5","filler: not part of the study","1.2.3","main"
"being","feminine","j","7765","5","filler: not part of the study","1.2.3","main"
"slå","feminine","j","6309","3","filler: not part of the study","1.2.3","main"
"leppe","feminine","j","10441","5","filler: not part of the study","1.2.3","main"
"gjerning","feminine","j","5730","8","filler: not part of the study","1.2.3","main"
"mus","feminine","j","11809","3","filler: not part of the study","1.2.3","main"
"vist","feminine","j","5455","4","filler: not part of the study","1.2.3","main"
"grønnsak","feminine","j","14323","8","filler: not part of the study","1.2.3","main"
"gate","feminine","j","38563","4","part of the study","1.2.3","main"
"tromme","feminine","j","4702","6","part of the study","1.2.3","main"
"rakett","masculine","j","6860","6","filler: not part of the study","1.2.3","main"
"seer","masculine","j","9552","4","filler: not part of the study","1.2.3","main"
"genser","masculine","j","5295","6","filler: not part of the study","1.2.3","main"
"streng","masculine","j","5588","6","filler: not part of the study","1.2.3","main"
"halvdel","masculine","j","11248","7","filler: not part of the study","1.2.3","main"
"endel","masculine","j","23272","5","filler: not part of the study","1.2.3","main"
"logikk","masculine","j","8189","6","filler: not part of the study","1.2.3","main"
"instans","masculine","j","8036","7","filler: not part of the study","1.2.3","main"
"kanin","masculine","j","10420","5","filler: not part of the study","1.2.3","main"
"overkant","masculine","j","8880","8","filler: not part of the study","1.2.3","main"
"veg","masculine","j","14152","3","filler: not part of the study","1.2.3","main"
"veileder","masculine","j","9295","8","filler: not part of the study","1.2.3","main"
"diett","masculine","j","7221","5","filler: not part of the study","1.2.3","main"
"nerve","masculine","j","6699","5","filler: not part of the study","1.2.3","main"
"odd","masculine","j","7662","3","filler: not part of the study","1.2.3","main"
"arv","masculine","j","8170","3","filler: not part of the study","1.2.3","main"
"rekord","masculine","j","15638","6","filler: not part of the study","1.2.3","main"
"hobby","masculine","j","9498","5","filler: not part of the study","1.2.3","main"
"blyant","masculine","j","1821","6","part of the study","1.2.3","main"
"eske","masculine","j","3774","4","part of the study","1.2.3","main"
"gaffel","masculine","j","1295","6","part of the study","1.2.3","main"
"kjele","masculine","j","1492","5","part of the study","1.2.3","main"
"kjole","masculine","j","13037","5","part of the study","1.2.3","main"
"koffert","masculine","j","4658","7","part of the study","1.2.3","main"
"lastebil","masculine","j","5853","8","part of the study","1.2.3","main"
"nøkkel","masculine","j","12657","6","part of the study","1.2.3","main"
"ryggsekk","masculine","j","1911","8","part of the study","1.2.3","main"
"vegg","masculine","j","38390","4","part of the study","1.2.3","main"
