"word","gender","correct_response","frequency","letters","noun_origin","materials_version","task_part"
"difusión","feminine","f","26.90579","8","filler: not part of the study","1.2.2","main"
"luces","feminine","f","24.627896","5","filler: not part of the study","1.2.2","main"
"heridas","feminine","f","25.49876","7","filler: not part of the study","1.2.2","main"
"rebelión","feminine","f","19.724413","8","filler: not part of the study","1.2.2","main"
"prima","feminine","f","14.850176","5","filler: not part of the study","1.2.2","main"
"profesión","feminine","f","24.354939","9","filler: not part of the study","1.2.2","main"
"plantilla","feminine","f","22.886169","9","filler: not part of the study","1.2.2","main"
"explosión","feminine","f","24.042988","9","filler: not part of the study","1.2.2","main"
"orilla","feminine","f","26.889542","6","filler: not part of the study","1.2.2","main"
"esfera","feminine","f","22.830927","6","filler: not part of the study","1.2.2","main"
"mecánica","feminine","f","9.784219","8","filler: not part of the study","1.2.2","main"
"subida","feminine","f","21.78784","6","filler: not part of the study","1.2.2","main"
"revistas","feminine","f","24.699385","8","filler: not part of the study","1.2.2","main"
"habitación","feminine","f","51.066933","10","part of the study","1.2.2","main"
"nuez","feminine","f","2.963227","4","part of the study","1.2.2","main"
"raíz","feminine","f","43.36969","4","part of the study","1.2.2","main"
"ventana","feminine","f","41.56641","7","part of the study","1.2.2","main"
"calle","feminine","f","145.951939","5","part of the study","1.2.2","main"
"cartera","feminine","f","12.496241","7","part of the study","1.2.2","main"
"llave","feminine","f","21.866798","5","part of the study","1.2.2","main"
"pared","feminine","f","33.235583","5","part of the study","1.2.2","main"
"cacerola","feminine","f","0.968248","8","part of the study","1.2.2","main"
"taza","feminine","f","6.17339","4","part of the study","1.2.2","main"
"mochila","feminine","f","3.047705","7","part of the study","1.2.2","main"
"mesa","feminine","f","100.246108","4","part of the study","1.2.2","main"
"diablo","masculine","j","21.397901","6","filler: not part of the study","1.2.2","main"
"obreros","masculine","j","25.557251","7","filler: not part of the study","1.2.2","main"
"bloque","masculine","j","21.937317","6","filler: not part of the study","1.2.2","main"
"latín","masculine","j","26.311133","5","filler: not part of the study","1.2.2","main"
"esposo","masculine","j","24.085231","6","filler: not part of the study","1.2.2","main"
"fraude","masculine","j","23.032396","6","filler: not part of the study","1.2.2","main"
"evento","masculine","j","22.324007","6","filler: not part of the study","1.2.2","main"
"rumbo","masculine","j","23.932505","5","filler: not part of the study","1.2.2","main"
"usuario","masculine","j","26.431364","7","filler: not part of the study","1.2.2","main"
"cuarenta","masculine","j","23.617304","8","filler: not part of the study","1.2.2","main"
"prestigio","masculine","j","21.550628","9","filler: not part of the study","1.2.2","main"
"puertos","masculine","j","22.021804","7","filler: not part of the study","1.2.2","main"
"lujo","masculine","j","22.10954","4","filler: not part of the study","1.2.2","main"
"talento","masculine","j","27.165749","7","filler: not part of the study","1.2.2","main"
"horizonte","masculine","j","22.574217","9","filler: not part of the study","1.2.2","main"
"pájaros","masculine","j","24.354939","7","filler: not part of the study","1.2.2","main"
"ascenso","masculine","j","24.92035","7","filler: not part of the study","1.2.2","main"
"rasgos","masculine","j","24.072233","6","filler: not part of the study","1.2.2","main"
"reto","masculine","j","21.394652","4","filler: not part of the study","1.2.2","main"
"mensajes","masculine","j","22.060798","8","filler: not part of the study","1.2.2","main"
"cuentos","masculine","j","24.543409","7","filler: not part of the study","1.2.2","main"
"anuncio","masculine","j","24.28345","7","filler: not part of the study","1.2.2","main"
"turno","masculine","j","23.698541","5","filler: not part of the study","1.2.2","main"
"sentidos","masculine","j","23.584809","8","filler: not part of the study","1.2.2","main"
"pagos","masculine","j","22.821179","5","filler: not part of the study","1.2.2","main"
"enfermo","masculine","j","25.287543","7","filler: not part of the study","1.2.2","main"
"músicos","masculine","j","26.740065","7","filler: not part of the study","1.2.2","main"
"ores","masculine","j","21.755346","4","filler: not part of the study","1.2.2","main"
"tramo","masculine","j","21.570125","5","filler: not part of the study","1.2.2","main"
"mundos","masculine","j","22.720445","6","filler: not part of the study","1.2.2","main"
"buques","masculine","j","23.575061","6","filler: not part of the study","1.2.2","main"
"domicilio","masculine","j","23.848018","9","filler: not part of the study","1.2.2","main"
"remedio","masculine","j","28.550032","7","filler: not part of the study","1.2.2","main"
"relato","masculine","j","28.020365","6","filler: not part of the study","1.2.2","main"
"escándalo","masculine","j","24.182716","9","filler: not part of the study","1.2.2","main"
"motores","masculine","j","22.008806","7","filler: not part of the study","1.2.2","main"
"críticos","masculine","j","23.58156","8","filler: not part of the study","1.2.2","main"
"cultivos","masculine","j","22.340254","8","filler: not part of the study","1.2.2","main"
"héroe","masculine","j","24.79687","5","filler: not part of the study","1.2.2","main"
"griegos","masculine","j","23.432083","7","filler: not part of the study","1.2.2","main"
"sucesos","masculine","j","24.315945","7","filler: not part of the study","1.2.2","main"
"ensayo","masculine","j","23.045394","6","filler: not part of the study","1.2.2","main"
"déficit","masculine","j","25.069827","7","filler: not part of the study","1.2.2","main"
"tabaco","masculine","j","26.164905","6","filler: not part of the study","1.2.2","main"
"retorno","masculine","j","23.51657","7","filler: not part of the study","1.2.2","main"
"aguacate","masculine","j","1.124207","8","part of the study","1.2.2","main"
"cuchillo","masculine","j","17.106789","8","part of the study","1.2.2","main"
"gorro","masculine","j","5.354604","5","part of the study","1.2.2","main"
"reloj","masculine","j","26.145932","5","part of the study","1.2.2","main"
"tambor","masculine","j","7.853202","6","part of the study","1.2.2","main"
"camión","masculine","j","11.154341","6","part of the study","1.2.2","main"
"espejo","masculine","j","26.272649","6","part of the study","1.2.2","main"
"lápiz","masculine","j","5.44558","5","part of the study","1.2.2","main"
"ropero","masculine","j","1.30291","6","part of the study","1.2.2","main"
"tenedor","masculine","j","1.904003","7","part of the study","1.2.2","main"
"vestido","masculine","j","31.224357","7","part of the study","1.2.2","main"
"tejado","masculine","j","6.238373","6","part of the study","1.2.2","main"
