sentence,condition,task_part,materials_version
 Los niños juegan en el patio durante el recreo.,FILLER_grammatical,main,1.2.4
 El camarero sirvió el postre al final de la comida.,FILLER_grammatical,main,1.2.4
 Pedro escribió una historia para sus amigos.,FILLER_grammatical,main,1.2.4
 Ana y Juan paseó por el parque esta mañana.,FILLER_ungrammatical,main,1.2.4
 El coche estaban estacionados frente a la tienda.,FILLER_ungrammatical,main,1.2.4
 Las lluvias comenzó a caer de repente.,FILLER_ungrammatical,main,1.2.4
 Mi hermano trajeron el pastel para la fiesta.,FILLER_ungrammatical,main,1.2.4
 El música suena fuerte en la discoteca.,FILLER_ungrammatical,main,1.2.4
 La pájaro construyó un nido en el árbol.,FILLER_ungrammatical,main,1.2.4
 Laura cocinaron una cena deliciosa para su familia.,FILLER_ungrammatical,main,1.2.4
 La película terminó a las diez de la noche.,FILLER_ungrammatical,main,1.2.4
 El perra corrió rápido por el campo.,FILLER_ungrammatical,main,1.2.4
 Las libros están en la mesa.,FILLER_ungrammatical,main,1.2.4
 Marta salió temprano del reunión.,FILLER_ungrammatical,main,1.2.4
 El gato duerme debajo de la árbol.,FILLER_ungrammatical,main,1.2.4
 Ellas compra flores para la boda.,FILLER_ungrammatical,main,1.2.4
 El tren llegó al estación a tiempo.,FILLER_ungrammatical,main,1.2.4
 El viento soplaba fuerte en el playa.,FILLER_ungrammatical,main,1.2.4
 Los niño juegan en el patio durante el recreo.,FILLER_ungrammatical,main,1.2.4
 María recibieron una carta ayer.,FILLER_ungrammatical,main,1.2.4
 El camarero sirvió la postre al final de la comida.,FILLER_ungrammatical,main,1.2.4
Pedro escribió uno historia para sus amigos.,FILLER_ungrammatical,main,1.2.4
