word	lemma	code	frq	gender	
atmósfera	atmósfera	NCFS000	25.537754	FEMININE	
atmósfera	atmósfera	NP00000	0.646649	NONE	
augusto	augusto	AQ0MS0	1.634494	MASCULINE	
augusto	augusto	NCMS000	0.656397	MASCULINE	
augusto	augusto	NP00000	25.826958	NONE	
auto	auto	NP00000	4.227588	NONE	
auto	auto	NCMS000	22.090043	MASCULINE	
aventura	aventura	NP00000	1.878206	NONE	
aventura	aventura	NCFS000	25.956938	FEMININE	
aventuras	aventura	NCFP000	24.533661	FEMININE	
aventuras	aventuras	NP00000	2.320137	NONE	
aventuras	aventuras	NCFP000	0.341197	FEMININE	
azúcar	azúcar	NCCS000	24.861859	COMMON	
azúcar	azúcar	NP00000	1.507764	NONE	
azúcar	azúcar	NCMP000	0.081237	MASCULINE	
azúcar	azúcar	NCMS000	0.815622	MASCULINE	
bahía	bahía	NP00000	12.338319	NONE	
bahía	bahía	NCFS000	11.512948	FEMININE	
baile	baile	NP00000	2.102421	NONE	
baile	baile	NCMS000	25.674232	MASCULINE	
balón	balón	NCMS000	20.397058	MASCULINE	
balón	balón	NP00000	1.540259	NONE	
barcos	barcos	NP00000	0.516669	NONE	
barcos	barco	NCMP000	28.013866	MASCULINE	
barcos	barcos	NCMP000	0.263209	MASCULINE	
batasuna	batasuno	AQ0FS0	1.049586	FEMININE	
batasuna	batasuna	NCFS000	0.003249	FEMININE	
batasuna	batasuna	NP00000	26.356625	NONE	
bellas	bello	AQ0FP0	8.926353	FEMININE	
bellas	bellas	NCFP000	1.361537	FEMININE	
bellas	bellas	NP00000	17.920946	NONE	
bernardo	bernardo	NP00000	21.284169	NONE	
bernardo	bernardo	AQ0MS0	1.267302	MASCULINE	
big	big	AQ0000	0.211217	NONE	
big	big	NP00000	16.526914	NONE	
big	big	NC00000	4.633775	NONE	
big	big	NCMS000	0.276207	MASCULINE	
bill	bill	UH	0.003249		
bill	bill	NCMN000	0.838369	MASCULINE	
bill	bill	NP00000	22.083544	NONE	
black	black	NP00000	20.595277	NONE	
black	black	AQ0000	0.922856	NONE	
black	black	NC00000	1.770973	NONE	
bloque	bloque	NP00000	4.929479	NONE	
bloque	bloque	NCMS000	21.937317	MASCULINE	
borde	borde	NP00000	0.445180	NONE	
borde	borde	NCCS000	28.085355	COMMON	
borde	borde	AQ0CS0	0.120231	COMMON	
buques	buques	NP00000	0.445180	NONE	
buques	buque	NCMP000	23.575061	MASCULINE	
cabezas	cabeza	NCFP000	23.532817	FEMININE	
cabezas	cabezas	NP00000	2.547601	NONE	
cabezas	cabezas	NCCP000	0.077988	COMMON	
cadenas	cadena	NCFP000	24.936598	FEMININE	
cadenas	cadenas	NP00000	1.728729	NONE	
cadáver	cadáver	NP00000	0.168974	NONE	
cadáver	cadáver	NCMS000	22.960907	MASCULINE	
calma	calma	NP00000	0.568661	NONE	
calma	calma	NCFS000	21.196433	FEMININE	
campeones	campeón	NCMP000	8.237461	MASCULINE	
campeones	campeón	AQ0MP0	0.607655	MASCULINE	
campeones	campeones	UH	0.003249		
campeones	campeones	NP00000	15.980999	NONE	
canciller	canciller	NCCS000	17.326289	COMMON	
canciller	canciller	NP00000	5.699608	NONE	
capítulos	capítulo	NCMP000	20.397058	MASCULINE	
capítulos	capítulos	NP00000	1.065833	NONE	
cardenal	cardenal	NP00000	8.611152	NONE	
cardenal	cardenal	NCMS000	20.026616	MASCULINE	
caribe	caribe	AQ0CS0	1.543508	COMMON	
caribe	caribe	NP00000	22.148534	NONE	
caribe	caribe	NCCS000	0.272957	COMMON	
casco	casco	NCMS000	20.855236	MASCULINE	
casco	casco	NP00000	1.933447	NONE	
castigo	castigo	NP00000	0.451679	NONE	
castigo	castigar	VMIP1S0	0.016247	NONE	
castigo	castigo	NCMS000	25.765218	MASCULINE	
catalina	catalina	AQ0CS0	2.050429	COMMON	
catalina	catalina	NP00000	22.194027	NONE	
catalina	catalina	NCFS000	0.006499	FEMININE	
católicos	católicos	NP00000	7.317855	NONE	
católicos	católico	NCMP000	11.919135	MASCULINE	
católicos	católico	AQ0MP0	4.708513	MASCULINE	
ceremonia	ceremonia	NP00000	0.688892	NONE	
ceremonia	ceremonia	RG	0.019497		
ceremonia	ceremonia	NCFS000	25.560500	FEMININE	
cervantes	cervantes	NP00000	21.167188	NONE	
cervantes	cervantes	UH	0.003249		
cervantes	cervantes	NCFN000	1.403780	FEMININE	
chicago	chicago	NCMS000	1.546758	MASCULINE	
chicago	chicago	NP00000	24.943097	NONE	
chicos	chicos	NP00000	1.286799	NONE	
chicos	chico	NCMP000	20.712259	MASCULINE	
chávez	chávez	NP00000	24.293198	NONE	
cinta	cinta	NP00000	0.750633	NONE	
cinta	cinta	NCFS000	23.224116	FEMININE	
circuito	circuito	NP00000	3.574441	NONE	
circuito	circuito	NCMS000	20.676514	MASCULINE	
city	city	NP00000	27.393213	NONE	
city	city	NCFS000	1.491517	FEMININE	
ciu	ciu	NP00000	26.649080	NONE	
ciu	ciu	NC00000	0.276207	NONE	
ciu	ciu	AQ0000	0.006499	NONE	
coches	coches	NCMP000	0.071489	MASCULINE	
coches	coche	NCMP000	24.371186	MASCULINE	
coches	coches	NP00000	0.597906	NONE	
columna	columna	NCFS000	24.982091	FEMININE	
columna	columna	NP00000	1.969192	NONE	
cometido	cometido	NP00000	0.058491	NONE	
cometido	cometer	VMP00SM	12.854988	MASCULINE	
cometido	cometido	NCMS000	13.306668	MASCULINE	
concesión	concesión	NP00000	0.594657	NONE	
concesión	concesión	NCFS000	24.848861	FEMININE	
conexión	conexión	NCFS000	27.789651	FEMININE	
conexión	conexión	NP00000	0.991095	NONE	
confusión	confusión	NCFS000	25.830208	FEMININE	
confusión	confusión	NP00000	0.406186	NONE	
consejos	consejos	NCMP000	0.750633	MASCULINE	
consejos	consejos	NP00000	5.251178	NONE	
consejos	consejo	NCMP000	19.233740	MASCULINE	
contactos	contactos	NP00000	0.640150	NONE	
contactos	contacto	NCMP000	24.062484	MASCULINE	
contratos	contratos	NP00000	1.221809	NONE	
contratos	contrato	NCMP000	25.242050	MASCULINE	
controles	controles	NP00000	0.328199	NONE	
controles	control	NCMP000	24.101478	MASCULINE	
convento	convento	NCMS000	18.752815	MASCULINE	
convento	convento	NP00000	6.970159	NONE	
copias	copias	NP00000	0.103984	NONE	
copias	copia	NCFP000	25.602743	FEMININE	
corea	corea	NCFS000	0.776628	FEMININE	
corea	corea	NP00000	28.199087	NONE	
coro	coro	RG	1.959443		
coro	coro	NCMS000	18.762564	MASCULINE	
coro	coro	NP00000	5.176440	NONE	
correo	correo	NP00000	4.035868	NONE	
correo	correo	UE	0.003249		
correo	correo	RG	0.107233		
correo	correo	NCMS000	21.332912	MASCULINE	
coruña	coruña	NCFS000	0.090986	FEMININE	
coruña	coruña	NP00000	21.657861	NONE	
creador	creador	NP00000	4.887235	NONE	
creador	creador	NCMS000	21.033958	MASCULINE	
cristal	cristal	NP00000	4.627276	NONE	
cristal	cristal	NCMS000	21.072952	MASCULINE	
crímenes	crimen	NCMP000	25.554001	MASCULINE	
crímenes	crímenes	NP00000	0.627152	NONE	
críticos	críticos	NP00000	1.247805	NONE	
críticos	crítico	NCMP000	23.581560	MASCULINE	
cuadros	cuadros	NP00000	1.273801	NONE	
cuadros	cuadro	AQ0MP0	0.399687	MASCULINE	
cuadros	cuadro	NCMP000	23.581560	MASCULINE	
cuadros	cuadros	NCMP000	0.038994	MASCULINE	
cuarenta	[DATE]	W	0.152726		
cuarenta	cuarenta	NCMS000	23.617304	MASCULINE	
cuartos	cuartos	NCMP000	0.003249	MASCULINE	
cuartos	cuarto	NCMP000	21.160689	MASCULINE	
cuartos	cuartos	NP00000	2.554100	NONE	
cuentos	cuentos	NP00000	4.328323	NONE	
cuentos	cuentos	NCMP000	0.064990	MASCULINE	
cuentos	cuento	NCMP000	24.543409	MASCULINE	
cultivos	cultivos	NP00000	0.373692	NONE	
cultivos	cultivo	NCMP000	22.340254	MASCULINE	
culturas	culturas	NP00000	1.553257	NONE	
culturas	cultura	NCFP000	25.515007	FEMININE	
cursos	cursos	NP00000	1.101578	NONE	
cursos	curso	NCMP000	21.365407	MASCULINE	
cálculo	cálculo	NCMS000	22.580716	MASCULINE	
cálculo	cálculo	NP00000	1.377784	NONE	
cámaras	cámara	NCFP000	20.039614	FEMININE	
cámaras	cámaras	NP00000	4.637024	NONE	
danza	danza	NCFS000	18.011931	FEMININE	
danza	danza	NP00000	4.445304	NONE	
data	data	NP00000	3.139009	NONE	
data	data	NCFS000	18.317384	FEMININE	
debut	debut	NP00000	0.831870	NONE	
debut	debut	NCMS000	20.673265	MASCULINE	
defensor	defensor	NCMS000	14.008558	MASCULINE	
defensor	defensor	NP00000	14.099544	NONE	
detalle	detalle	RG	4.640274		
detalle	detalle	NCMS000	22.239520	MASCULINE	
detalle	detalle	NP00000	0.818872	NONE	
detención	detención	NP00000	0.510170	NONE	
detención	detención	NCFS000	26.496354	FEMININE	
diablo	diablo	NP00000	5.345414	NONE	
diablo	diablo	NCMS000	21.397901	MASCULINE	
diablo	diablo	RG	0.152726		
diarios	diarios	NP00000	1.537009	NONE	
diarios	diario	NCMP000	18.219899	MASCULINE	
diarios	diario	AQ0MP0	6.213028	MASCULINE	
dibujos	dibujos	NP00000	0.581659	NONE	
dibujos	dibujo	NCMP000	20.864985	MASCULINE	
dic	dic	NP00000	21.121695	NONE	
dic	dic	NC00000	2.144664	NONE	
dic	dic	AQ0000	0.048742	NONE	
difusión	difusión	NP00000	1.400531	NONE	
difusión	difusión	NCFS000	26.905790	FEMININE	
dinamarca	dinamarca	NP00000	27.204743	NONE	
dinamarca	dinamarca	NC00000	0.012998	NONE	
disputa	disputa	NCFS000	22.437739	FEMININE	
disputa	disputa	NP00000	0.435432	NONE	
dolores	dolores	NP00000	12.822493	NONE	
dolores	dolor	NCMP000	12.195342	MASCULINE	
domicilio	domicilio	NP00000	0.558913	NONE	
domicilio	domicilio	NCMS000	23.848018	MASCULINE	
drama	drama	NP00000	3.509451	NONE	
drama	drama	NCMS000	22.281763	MASCULINE	
déficit	déficit	NCMS000	25.069827	MASCULINE	
déficit	déficit	NP00000	0.542665	NONE	
embajador	embajador	NP00000	3.444461	NONE	
embajador	embajador	NCMS000	22.853674	MASCULINE	
emilio	emilio	NC00000	0.016247	NONE	
emilio	emilio	AQ0000	0.003249	NONE	
emilio	emilio	UH	0.003249		
emilio	emilio	NP00000	25.732723	NONE	
emisión	emisión	NP00000	0.883862	NONE	
emisión	emisión	NCFS000	25.440269	FEMININE	
energías	energías	NP00000	1.150320	NONE	
energías	energía	NCFP000	21.232177	FEMININE	
enfermo	enfermo	NCMS000	25.287543	MASCULINE	
enfermo	enfermo	AQ0MS0	3.145508	MASCULINE	
enfermo	enfermo	NP00000	0.204718	NONE	
enfermo	enfermar	VMIP1S0	0.016247	NONE	
enlace	enlazar	VMSP1S0	0.003249	NONE	
enlace	enlace	NCMS000	22.431240	MASCULINE	
enlace	enlace	NP00000	3.720668	NONE	
ensayo	ensayo	NCMS000	23.045394	MASCULINE	
ensayo	ensayo	NP00000	2.885548	NONE	
episodios	episodios	NP00000	1.959443	NONE	
episodios	episodio	NCMP000	24.484918	MASCULINE	
ermita	ermita	NCFS000	15.555316	FEMININE	
ermita	ermita	NP00000	9.923947	NONE	
escalera	escalera	NCFS000	21.183435	FEMININE	
escalera	escalera	NP00000	1.488267	NONE	
escalera	escalera	NCMS000	0.081237	MASCULINE	
escenas	escena	NCFP000	25.911445	FEMININE	
escenas	escenas	NP00000	0.890361	NONE	
esclavos	esclavo	AQ0MP0	1.426527	MASCULINE	
esclavos	esclavo	NCMP000	23.783028	MASCULINE	
esclavos	esclavos	NP00000	0.591407	NONE	
escándalo	escándalo	NP00000	0.601156	NONE	
escándalo	escándalo	NCMS000	24.182716	MASCULINE	
esfera	esfera	NCFS000	22.830927	FEMININE	
esfera	esfera	NP00000	1.199062	NONE	
espejo	espejo	NP00000	3.041524	NONE	
espejo	espejo	NCMS000	23.233864	MASCULINE	
esposo	esposo	NCMS000	24.085231	MASCULINE	
esposo	esposo	NP00000	1.062584	NONE	
estima	estima	NP00000	0.279456	NONE	
estima	estima	NCFS000	24.072233	FEMININE	
estrecho	estrecho	NCMS000	19.857643	MASCULINE	
estrecho	estrecho	NP00000	8.952349	NONE	
etapas	etapas	NP00000	0.575160	NONE	
etapas	etapa	NCFP000	26.580840	FEMININE	
evento	evento	RG	0.064990		
evento	evento	NP00000	0.571911	NONE	
evento	evento	NCMS000	22.324007	MASCULINE	
eventos	eventos	NP00000	1.186064	NONE	
eventos	evento	NCMP000	25.911445	MASCULINE	
evidencia	evidencia	NCFS000	26.112914	FEMININE	
evidencia	evidencia	NP00000	0.240462	NONE	
evidencia	evidenciar	VMIP3S0	0.809123	NONE	
exceso	exceso	NP00000	0.282706	NONE	
exceso	exceso	NCMS000	22.782185	MASCULINE	
exilio	exilio	NP00000	1.117825	NONE	
exilio	exilio	NCMS000	20.881232	MASCULINE	
explosión	explosión	NCMS000	0.003249	MASCULINE	
explosión	explosión	NCFS000	24.042988	FEMININE	
explosión	explosión	NP00000	0.441931	NONE	
facilidad	facilidad	NCFS000	28.153594	FEMININE	
facilidad	facilidad	NP00000	0.175473	NONE	
fallo	fallo	NCMS000	21.953565	MASCULINE	
fallo	fallar	VMIP1S0	0.003249	NONE	
fallo	fallo	NP00000	5.537134	NONE	
fechas	facer	VMP00PF	0.129980	FEMININE	
fechas	fecha	NCFP000	23.058392	FEMININE	
fechas	fechas	NCFP000	0.038994	FEMININE	
fechas	fechas	NP00000	0.464677	NONE	
fenómenos	fenómenos	NCMP000	0.233963	MASCULINE	
fenómenos	fenómeno	NCMP000	25.973185	MASCULINE	
fenómenos	fenómenos	NP00000	0.484174	NONE	
filas	fila	NCFP000	24.068983	FEMININE	
filas	filas	NCFP000	0.009748	FEMININE	
filas	filas	NP00000	0.077988	NONE	
filósofo	filósofo	NP00000	1.078831	NONE	
filósofo	filósofo	NCMS000	24.627896	MASCULINE	
filósofo	filósofo	AQ0MS0	0.003249	MASCULINE	
finalidad	finalidad	NP00000	0.337947	NONE	
finalidad	finalidad	NCFS000	25.303790	FEMININE	
finanzas	finanzas	NCFP000	11.376470	FEMININE	
finanzas	finanzas	NP00000	10.369127	NONE	
finlandia	finlandia	NP00000	23.003150	NONE	
finlandia	finlandia	NC00000	0.012998	NONE	
fiscalía	fiscalía	NCFS000	8.630649	FEMININE	
fiscalía	fiscalía	NP00000	13.927321	NONE	
florida	florida	NP00000	20.689512	NONE	
florida	florido	AQ0FS0	2.856303	FEMININE	
florida	florida	NCFS000	0.178722	FEMININE	
flujo	flujo	NCMS000	21.397901	MASCULINE	
flujo	flujo	NP00000	0.412685	NONE	
fomento	fomento	NCMS000	13.508136	MASCULINE	
fomento	fomento	NP00000	11.119760	NONE	
frank	frank	NP00000	21.384904	NONE	
frank	frank	AQ0000	0.012998	NONE	
frank	frank	NC00000	0.006499	NONE	
fraude	fraude	NCMS000	23.032396	MASCULINE	
fraude	fraude	NP00000	0.987845	NONE	
gabinete	gabinete	NCMS000	16.175969	MASCULINE	
gabinete	gabinete	NP00000	9.053083	NONE	
gabriel	gabriel	NC00000	0.022746	NONE	
gabriel	gabriel	AQ0000	0.003249	NONE	
gabriel	gabriel	NP00000	27.883886	NONE	
galería	galería	NP00000	9.508012	NONE	
galería	galería	NCFS000	14.219775	FEMININE	
ganador	ganador	AQ0MS0	2.671082	MASCULINE	
ganador	ganador	NP00000	2.134916	NONE	
ganador	ganador	NCMS000	19.522945	MASCULINE	
ganas	ganas	NP00000	0.227464	NONE	
ganas	gana	NCFP000	25.433770	FEMININE	
garantía	garantía	NCFS000	23.399588	FEMININE	
garantía	garantía	NP00000	3.103264	NONE	
garantías	garantías	NP00000	1.293298	NONE	
garantías	garantía	NCFP000	24.179466	FEMININE	
genio	genio	NP00000	1.322543	NONE	
genio	genio	NCMS000	23.061641	MASCULINE	
gentes	gente	NCFP000	28.569529	FEMININE	
gentes	gentes	NP00000	0.305452	NONE	
ginebra	ginebra	NP00000	19.503448	NONE	
ginebra	ginebra	NCFS000	2.021184	FEMININE	
golpes	golpes	NP00000	0.698641	NONE	
golpes	golpe	NCMP000	25.186809	MASCULINE	
golpes	golpes	NCMP000	1.017091	MASCULINE	
grabación	grabación	NP00000	1.069083	NONE	
grabación	grabación	NCFS000	25.287543	FEMININE	
grabado	grabado	NCMS000	18.262142	MASCULINE	
grabado	grabar	VMP00SM	4.178846	MASCULINE	
grabado	grabado	NP00000	1.296547	NONE	
gravedad	gravedad	NCFS000	26.814804	FEMININE	
gravedad	gravedad	NP00000	0.337947	NONE	
griegos	griegos	NP00000	1.413529	NONE	
griegos	griego	NCMP000	23.432083	MASCULINE	
grito	gritar	VMIP1S0	0.003249	NONE	
grito	grito	NCMS000	26.090167	MASCULINE	
grito	grito	RG	0.350945		
grito	grito	NP00000	1.199062	NONE	
guarda	guarda	NCCS000	19.789403	COMMON	
guarda	guarda	NP00000	1.241306	NONE	
guarda	guarda	NCMP000	0.032495	MASCULINE	
guarda	guarda	NCMS000	0.298953	MASCULINE	
guatemala	guatemala	NP00000	25.657985	NONE	
guatemala	guatemala	NC00000	0.016247	NONE	
gue	gue	NP00000	21.423897	NONE	
gue	gue	NC00000	0.461428	NONE	
gue	gue	AQ0000	0.042243	NONE	
guión	guión	NCMS000	21.050206	MASCULINE	
guión	guión	NP00000	2.573597	NONE	
gustavo	gustavo	NC00000	0.022746	NONE	
gustavo	gustavo	NP00000	21.960064	NONE	
gustavo	gustavo	AQ0000	0.006499	NONE	
gutiérrez	gutiérrez	NP00000	23.172124	NONE	
géneros	géneros	NCMP000	0.061740	MASCULINE	
géneros	géneros	NP00000	0.542665	NONE	
géneros	género	NCMP000	23.636801	MASCULINE	
habana	habano	AQ0FS0	0.149477	FEMININE	
habana	habana	NP00000	26.782309	NONE	
habilidad	habilidad	NP00000	0.419184	NONE	
habilidad	habilidad	NCFS000	28.241331	FEMININE	
henry	henry	NP00000	24.205462	NONE	
henry	henry	NCMS000	0.890361	MASCULINE	
herencia	herencia	NP00000	0.835119	NONE	
herencia	herencia	NCFS000	20.955971	FEMININE	
heridas	herir	VMP00PF	0.032495	FEMININE	
heridas	herida	NCFP000	25.498760	FEMININE	
heridas	heridas	NP00000	0.276207	NONE	
heridas	herido	AQ0FPP	1.800218	FEMININE	
hermanas	hermana	NCFP000	18.931537	FEMININE	
hermanas	hermanas	NP00000	3.850647	NONE	
hernández	hernández	NC00000	0.016247	NONE	
hernández	hernández	NP00000	24.289949	NONE	
hijas	hijas	NCFP000	0.009748	FEMININE	
hijas	hijas	NP00000	1.585752	NONE	
hijas	hija	NCFP000	22.743191	FEMININE	
hoja	hoja	NCFS000	22.544972	FEMININE	
hoja	hoja	NP00000	2.820559	NONE	
hollywood	hollywood	NP00000	21.677358	NONE	
hollywood	hollywood	AQ0000	0.006499	NONE	
hollywood	hollywood	NC00000	0.061740	NONE	
hombros	hombro	NCMP000	22.687950	MASCULINE	
hombros	hombros	NP00000	0.298953	NONE	
horizonte	horizonte	NCMS000	22.574217	MASCULINE	
horizonte	horizonte	NP00000	2.173910	NONE	
huevos	huevos	NP00000	0.480925	NONE	
huevos	huevo	NCMP000	23.207868	MASCULINE	
huevos	huevos	NCMP000	0.029245	MASCULINE	
hugo	hugo	AQ0000	0.016247	NONE	
hugo	hugo	NP00000	25.073076	NONE	
hugo	hugo	NC00000	0.012998	NONE	
humo	humo	NP00000	0.425683	NONE	
humo	humo	NCMS000	21.427147	MASCULINE	
héroe	héroe	NCMS000	24.796870	MASCULINE	
héroe	héroe	NP00000	3.178003	NONE	
idiomas	idiomas	NP00000	1.553257	NONE	
idiomas	idioma	NCMP000	21.443394	MASCULINE	
ilusión	ilusión	NCFS000	22.544972	FEMININE	
ilusión	ilusión	NP00000	1.004093	NONE	
incendio	incendio	NP00000	1.371285	NONE	
incendio	incendio	NCMS000	24.111227	MASCULINE	
incidente	incidente	NCCS000	14.586967	COMMON	
incidente	incidente	AQ0CS0	7.113137	COMMON	
incidente	incidente	NP00000	0.815622	NONE	
infierno	infierno	NCMS000	18.249144	MASCULINE	
infierno	infierno	NP00000	4.253584	NONE	
ingeniero	ingeniero	NCMS000	20.094855	MASCULINE	
ingeniero	ingeniero	NP00000	5.764598	NONE	
ingleses	ingleses	NP00000	0.880612	NONE	
ingleses	inglés	NCMP000	23.815523	MASCULINE	
ingreso	ingreso	NCMS000	26.288386	MASCULINE	
ingreso	ingreso	NP00000	0.841618	NONE	
inicios	inicios	NP00000	1.910701	NONE	
inicios	inicio	NCMP000	21.514883	MASCULINE	
intentos	intento	NCMP000	24.114476	MASCULINE	
intentos	intentos	NP00000	0.113732	NONE	
ira	ira	NCFS000	18.164657	FEMININE	
ira	ira	NP00000	9.124572	NONE	
iraq	iraq	NP00000	21.518133	NONE	
iraq	iraq	NC00000	0.006499	NONE	
jiménez	jiménez	NP00000	22.980404	NONE	
jiménez	jiménez	NC00000	0.006499	NONE	
joan	joan	NC00000	0.029245	NONE	
joan	joan	NP00000	25.411023	NONE	
joan	joan	AQ0000	0.003249	NONE	
jones	jone	NCMP000	1.020340	MASCULINE	
jones	jones	NP00000	21.121695	NONE	
josep	josep	NP00000	23.822022	NONE	
joseph	joseph	AQ0000	0.022746	NONE	
joseph	joseph	NP00000	21.690356	NONE	
joseph	joseph	NC00000	0.006499	NONE	
jun	jun	NC00000	0.695391	NONE	
jun	jun	NP00000	20.799995	NONE	
jun	jun	AQ0000	0.055241	NONE	
king	king	NCMS000	1.468770	MASCULINE	
king	king	NP00000	22.492980	NONE	
lagos	lagos	NP00000	14.252270	NONE	
lagos	lago	NCMP000	11.087265	MASCULINE	
latín	latín	NCMS000	26.311133	MASCULINE	
latín	latín	NP00000	1.394032	NONE	
lector	lector	NCMS000	27.207992	MASCULINE	
lector	lector	NP00000	1.221809	NONE	
lectores	lector	NCMP000	20.442551	MASCULINE	
lectores	lectores	NP00000	1.546758	NONE	
liberales	liberal	AQ0CP0	7.798780	COMMON	
liberales	liberales	NP00000	5.065957	NONE	
liberales	liberal	NCCP000	13.121447	COMMON	
libras	libras	NP00000	1.530510	NONE	
libras	libras	NCFP000	7.265863	FEMININE	
libras	libra	NCCP000	16.500918	COMMON	
llave	llave	NP00000	1.348539	NONE	
llave	llave	NCFS000	20.055861	FEMININE	
llave	llave	RG	0.464677		
locura	locura	NP00000	0.799375	NONE	
locura	locura	NCFS000	23.250112	FEMININE	
lord	lord	NCMS000	6.394999	MASCULINE	
lord	lord	NP00000	16.621149	NONE	
lorenzo	lorenzo	AQ0MS0	0.516669	MASCULINE	
lorenzo	lorenzo	NP00000	26.727068	NONE	
luces	luz	NCFP000	24.627896	FEMININE	
luces	luces	NP00000	1.491517	NONE	
lujo	lujo	NCMS000	22.109540	MASCULINE	
lujo	lujo	NP00000	0.337947	NONE	
madrugada	madrugada	NP00000	0.415935	NONE	
madrugada	madrugada	RG	3.587439		
madrugada	madrugada	NCFS000	22.385747	FEMININE	
maestros	maestro	NCMP000	22.990152	MASCULINE	
maestros	maestros	NCMP000	0.064990	MASCULINE	
maestros	maestro	AQ0MP0	0.558913	MASCULINE	
maestros	maestros	NP00000	5.299921	NONE	
magia	magia	NCFS000	18.567594	FEMININE	
